AnnotatorID,NumTweetsAnnotated,NumAnnotations,HateSpeech_Count,Offensive_Count,Neutral_Count,Ethnicity,Age,Education,Party,EnglishFirst
265,50,50,8,25,17,White,32.0,3.0,3.0,1.0
266,50,50,20,3,27,White,41.0,4.0,3.0,2.0
267,50,50,19,15,16,White,47.0,3.0,3.0,1.0
268,50,50,11,22,17,White,33.0,3.0,2.0,1.0
269,50,50,8,23,19,White,38.0,5.0,1.0,1.0
270,50,50,11,12,27,White,50.0,4.0,1.0,2.0
271,50,50,23,12,15,White,64.0,4.0,2.0,1.0
272,50,50,8,19,23,White,32.0,2.0,2.0,1.0
273,50,50,9,16,25,White,66.0,5.0,2.0,1.0
274,2,2,0,0,2,Prefer not to say,,,,
275,50,50,6,20,24,Sth else,32.0,2.0,2.0,1.0
276,50,50,1,28,21,Afr american,22.0,4.0,2.0,2.0
277,50,50,24,13,13,White,70.0,3.0,2.0,1.0
278,50,50,5,19,26,White,27.0,4.0,3.0,1.0
279,50,50,18,14,18,Afr american,40.0,4.0,2.0,1.0
280,50,50,26,11,13,White,39.0,3.0,2.0,1.0
281,50,50,21,16,13,White,47.0,2.0,1.0,1.0
282,50,50,16,14,20,White,22.0,3.0,2.0,1.0
283,50,50,25,9,16,White,74.0,5.0,2.0,1.0
284,50,50,13,26,11,White,43.0,5.0,3.0,1.0
285,50,50,16,17,17,White,44.0,2.0,2.0,1.0
286,50,50,12,16,22,White,43.0,3.0,3.0,1.0
287,50,50,22,6,22,White,49.0,3.0,3.0,1.0
288,50,50,21,14,15,White,68.0,4.0,1.0,1.0
289,50,50,23,3,24,White,60.0,2.0,2.0,1.0
290,50,50,18,10,22,Afr american,39.0,4.0,2.0,1.0
291,50,50,27,15,8,Hispanic,36.0,5.0,3.0,2.0
292,50,50,3,8,39,Afr american,23.0,4.0,2.0,1.0
293,50,50,4,18,28,White,64.0,2.0,3.0,1.0
294,50,50,15,22,13,White,57.0,4.0,2.0,1.0
295,50,50,3,23,24,White,41.0,4.0,3.0,1.0
296,50,50,9,21,20,White,38.0,4.0,2.0,1.0
297,50,50,2,24,24,White,58.0,3.0,1.0,1.0
298,50,50,26,6,18,White,83.0,5.0,2.0,1.0
300,50,50,23,7,20,White,31.0,4.0,2.0,1.0
301,50,50,13,18,19,White,38.0,5.0,2.0,1.0
302,50,50,9,21,20,White,37.0,4.0,1.0,1.0
303,50,50,17,7,26,White,47.0,4.0,2.0,1.0
304,50,50,10,11,29,Hispanic,47.0,3.0,2.0,1.0
305,50,50,9,13,28,White,46.0,1.0,2.0,1.0
306,50,50,11,23,16,White,45.0,4.0,1.0,1.0
307,50,50,8,22,20,White,47.0,4.0,2.0,1.0
308,50,50,13,9,28,White,25.0,2.0,2.0,1.0
309,50,50,8,21,21,White,66.0,4.0,1.0,1.0
310,50,50,19,16,15,White,26.0,4.0,2.0,1.0
311,50,50,9,26,15,White,66.0,4.0,3.0,1.0
313,50,50,19,15,16,White,39.0,4.0,1.0,1.0
315,50,50,19,8,23,Hispanic,33.0,3.0,2.0,1.0
316,50,50,18,6,26,White,53.0,5.0,1.0,1.0
317,50,50,22,11,17,White,29.0,4.0,3.0,1.0
318,50,50,17,15,18,Afr american,48.0,5.0,3.0,1.0
319,50,50,12,18,20,White,38.0,5.0,2.0,1.0
320,50,50,13,26,11,White,46.0,5.0,1.0,1.0
321,50,50,3,23,24,White,20.0,3.0,2.0,1.0
322,50,50,23,4,23,White,36.0,4.0,2.0,1.0
323,50,50,10,17,23,White,36.0,5.0,3.0,1.0
324,50,50,13,18,19,Afr american,27.0,5.0,1.0,1.0
325,50,50,18,14,18,White,30.0,2.0,3.0,1.0
326,50,50,22,15,13,Asian,22.0,3.0,2.0,1.0
327,50,50,15,17,18,White,64.0,3.0,2.0,1.0
328,50,50,8,15,27,Hispanic,45.0,3.0,2.0,1.0
329,50,50,18,9,23,White,37.0,2.0,3.0,1.0
330,50,50,2,17,31,White,33.0,5.0,3.0,1.0
331,50,50,26,9,15,White,30.0,5.0,2.0,1.0
332,50,50,21,7,22,White,52.0,4.0,2.0,1.0
333,50,50,13,24,13,White,42.0,3.0,2.0,1.0
334,50,50,14,14,22,Afr american,25.0,4.0,2.0,1.0
335,5,5,3,1,1,Prefer not to say,,,,
336,50,50,14,16,20,White,29.0,4.0,1.0,1.0
337,50,50,21,14,15,Prefer not,27.0,4.0,2.0,1.0
338,50,50,4,24,22,White,51.0,4.0,3.0,1.0
339,50,50,9,19,22,Afr american,27.0,4.0,2.0,1.0
340,50,50,3,29,18,Afr american,41.0,3.0,3.0,1.0
341,50,50,18,17,15,White,54.0,4.0,1.0,1.0
342,50,50,10,21,19,White,38.0,4.0,3.0,1.0
343,50,50,16,2,32,White,30.0,3.0,2.0,1.0
344,50,50,9,21,20,Hispanic,31.0,4.0,1.0,1.0
345,50,50,9,26,15,White,23.0,4.0,2.0,1.0
346,50,50,14,17,19,White,67.0,3.0,1.0,1.0
347,50,50,23,19,8,White,52.0,4.0,1.0,1.0
348,50,50,3,20,27,Hispanic,44.0,3.0,3.0,1.0
349,50,50,14,14,22,White,41.0,4.0,3.0,1.0
350,50,50,8,6,36,Sth else,44.0,2.0,3.0,1.0
351,50,50,2,19,29,White,44.0,4.0,1.0,1.0
352,50,50,4,13,33,White,42.0,3.0,3.0,1.0
353,50,50,22,11,17,White,40.0,2.0,2.0,1.0
354,16,16,6,6,4,Prefer not to say,,,,
355,50,50,7,24,19,Asian,31.0,4.0,2.0,1.0
356,50,50,12,24,14,White,38.0,4.0,3.0,1.0
357,50,50,26,14,10,White,37.0,2.0,3.0,1.0
358,50,50,17,8,25,White,65.0,4.0,3.0,1.0
359,50,50,16,14,20,White,52.0,3.0,1.0,1.0
360,50,50,11,20,19,White,36.0,4.0,2.0,1.0
361,50,50,23,10,17,White,55.0,4.0,2.0,1.0
362,50,50,4,33,13,White,31.0,2.0,3.0,1.0
363,50,50,12,24,14,White,37.0,4.0,1.0,1.0
364,50,50,5,9,36,White,44.0,2.0,1.0,1.0
365,50,50,11,25,14,White,35.0,4.0,2.0,1.0
366,50,50,24,17,9,White,46.0,4.0,3.0,1.0
367,50,50,0,13,37,White,42.0,4.0,1.0,1.0
368,50,50,13,17,20,White,30.0,4.0,2.0,1.0
369,50,50,6,20,24,White,34.0,4.0,1.0,1.0
370,50,50,20,13,17,White,69.0,3.0,2.0,1.0
371,50,50,17,16,17,Sth else,29.0,4.0,3.0,1.0
372,50,50,14,15,21,White,25.0,4.0,2.0,1.0
373,50,50,6,18,26,White,67.0,3.0,1.0,1.0
374,50,50,25,15,10,White,38.0,3.0,3.0,1.0
375,50,50,21,11,18,White,65.0,3.0,2.0,1.0
376,50,50,21,8,21,White,41.0,4.0,1.0,1.0
377,50,50,11,4,35,White,72.0,3.0,3.0,1.0
378,50,50,14,14,22,White,45.0,4.0,3.0,1.0
379,50,50,1,9,40,Afr american,23.0,4.0,1.0,1.0
380,50,50,11,22,17,White,63.0,3.0,2.0,1.0
381,50,50,16,19,15,White,26.0,2.0,3.0,1.0
382,50,50,16,14,20,White,47.0,4.0,3.0,1.0
383,50,50,15,10,25,White,46.0,3.0,1.0,1.0
384,50,50,24,11,15,White,65.0,4.0,2.0,1.0
385,50,50,18,9,23,White,42.0,3.0,1.0,1.0
386,50,50,12,17,21,White,67.0,2.0,1.0,1.0
387,50,50,6,27,17,White,74.0,4.0,1.0,1.0
388,50,50,6,30,14,White,40.0,3.0,3.0,1.0
389,50,50,4,24,22,White,57.0,5.0,2.0,1.0
390,50,50,41,1,8,White,48.0,4.0,1.0,1.0
391,50,50,8,26,16,White,28.0,4.0,3.0,1.0
392,50,50,7,20,23,White,51.0,5.0,2.0,1.0
393,50,50,9,21,20,White,39.0,4.0,3.0,1.0
394,50,50,24,11,15,White,27.0,3.0,3.0,1.0
395,50,50,11,18,21,White,29.0,4.0,2.0,1.0
396,50,50,13,21,16,White,47.0,3.0,1.0,1.0
397,50,50,20,9,21,White,28.0,5.0,2.0,1.0
398,50,50,12,20,18,White,35.0,4.0,2.0,1.0
399,50,50,15,16,19,Afr american,36.0,3.0,2.0,1.0
400,50,50,11,15,24,Afr american,29.0,4.0,2.0,1.0
401,50,50,27,6,17,White,32.0,5.0,2.0,1.0
